,conm,gvkey,add1,add2,add3,add4,addzip,busdesc,cik,city,conml,costat,county,dlrsn,ein,fax,fic,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
11,ARCHON INC,001725,1200 West San Pedro Street,,,,85233,,0000007105,Gilbert,Archon Inc,I,,01,,,USA,12.0,,,,,D,,USA,,,,,01,2834,285.0,905.0,,AZ,0.0,,1978-01-31,
12,DELSITE INC,001902,2001 Walnut Hill Lane,,,,75038,"On March 12, 2012, DelSite, Inc. went out of business as per its Chapter 7 liquidation filing under bankruptcy. DelSite, Inc. operates as a research-based, biopharmaceutical and consumer products company with a core technology based on naturally-occurring complex carbohydrates.",0000718007,Irving,DelSite Inc,I,,10,75-1435663,972-518-1020,USA,12.0,3030,303020,30,30302010,D,TX,USA,325412,972-518-1300,,,01,2834,285.0,905.0,D,TX,3.0,,2012-08-01,
13,BALCHEM CORP  -CL B,001979,52 Sunrise Park Road,,,,10958,"Balchem Corporation develops, manufactures, and markets specialty performance ingredients and products for the nutritional, food, pharmaceutical, animal health, medical device sterilization, plant nutrition, and industrial markets in the United States and internationally.",0000009326,New Hampton,Balchem Corp,A,,,13-2578432,,USA,12.0,1510,151010,15,15101050,D,MD,USA,325412,845 326 5600,,,01,2834,285.0,905.0,A-,NY,0.0,www.balchem.com,,
14,BARNES-HIND PHARMACUETICALS,002050,895 Kifer Road,,,,94086,,,Sunnyvale,Barnes-Hind Pharmacueticals,I,,01,,,USA,6.0,,,,,D,,USA,,,,,01,2834,285.0,905.0,,CA,0.0,,1976-12-31,
15,BAUSCH & LOMB HLDGS  -REDH,002085,400 Somerset Corporate Blvd.,,,,08807-2867,"As of June 5, 2013,  operates as a subsidiary of Bausch Health Companies Inc.",0001416436,Bridgewater,Bausch & Lomb Holdings Inc,I,,10,16-0345235,585 338 6007,USA,12.0,3510,351010,35,35101020,D,NY,USA,325412,800 553 5340,,,05,2834,300.0,905.0,B-,NJ,3.0,www.bausch.com,2013-05-30,
16,BAXTER INTERNATIONAL INC,002086,One Baxter Parkway,,,,60015,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products worldwide.",0000010456,Deerfield,Baxter International Inc,A,,,36-0781620,,USA,12.0,3510,351010,35,35101010,B,DE,USA,325412,224 948 2000,,,01,2834,300.0,905.0,B,IL,0.0,www.baxter.com,,
17,BIO ANALYTIC LABORATORIES,002217,One Bio-Analytic Place,,,,33490,,,Palm City,Bio Analytic Laboratories,I,,10,75-1433000,,USA,12.0,3520,352010,35,35201010,D,FL,USA,325413,,,,01,2835,147.0,905.0,,FL,0.0,,1987-03-31,
18,SAVIENT PHARMACEUTICALS INC,002222,"400 Crossing Boulevard, 3rd Floor",,,,08807,"As of May 30, 2014, Savient Pharmaceuticals, Inc. went out of business. Savient Pharmaceuticals, Inc. operates as a specialty biopharmaceutical company in the United States.",0000722104,Bridgewater,Savient Pharmaceuticals Inc,I,,03,13-3033811,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,732-418-9300,,,01,2836,147.0,905.0,D,NJ,3.0,,2014-06-02,1983-09-29
19,BIOCRAFT LABORATORIES INC,002225,18-01 River Road,,,,07410,"Makes and sells various dosages of 23 generic prescription drugs, and one prescription veterinary drug constituting an aggregate of 68 products. Co.'s products are sold in various oral dosage forms.",0000763043,Fair Lawn,Biocraft Laboratories Inc,I,,01,22-1734359,,USA,3.0,3520,352020,35,35202010,D,DE,USA,325412,201-703-0400,,,01,2834,285.0,905.0,,NJ,0.0,,1996-06-30,
20,BIOGEN INC-OLD,002226,225 Binney Street,,,,02142,"Biogen MA Inc. develops, manufactures, and commercializes human therapeutic products for neurological, autoimmune, and rare diseases.",0000714655,Cambridge,Biogen Inc,I,,01,04-3002117,617-679-2617,USA,12.0,3520,352010,35,35201010,D,MA,USA,325414,781-464-2000,,,01,2836,147.0,905.0,,MA,0.0,www.biogen.com,2003-11-13,1983-03-22
21,BIOMEDICAL INDUSTRIES  -CL A,002228,3501 N.W. 9th Avneue,,,,33309,,,Fort Lauderdale,Biomedical Industries,I,,10,59-1232509,,USA,6.0,,,,,D,FL,USA,,,,,01,2836,147.0,905.0,,FL,3.0,,1981-02-28,
22,SPHERIX INC  -OLD,002237,"110 Greene Street, Suite 403",,,,10012,"As of September 10, 2013, North South Holdings Inc. was acquired by Spherix Incorporated. North South Holdings Inc., an intellectual property development company, acquires patents from various entities; and monetizes those patents through sales, litigation, or licensing.",0001584361,New York,Spherix Inc,I,,04,52-0849320,,USA,12.0,2020,202020,20,20202020,D,DE,USA,325414,347-855-6146,,,01,2836,456.0,976.0,C,NY,0.0,www.northsouthholdings.com,2013-09-11,
23,BIOTECH RESEARCH LABS INC,002244,3 Taft Court,,,,20850,"As of September 13, 1990, Biotech Research Laboratories Inc. was acquired by Cambridge Biotech Corporation. Biotech Research Laboratories Inc.",0000350405,Rockville,Biotech Research Labs Inc,I,,01,52-0969117,301-762-1109,USA,12.0,3520,352010,35,35201010,D,MD,USA,325413,301-251-0800,,,01,2835,147.0,905.0,,MD,0.0,,1990-09-30,
24,CIRCA PHARMACEUTICALS INC,002293,33 Ralph Avenue,,,,11726,"In July 1995, Circa Pharmaceuticals, Inc. merged with Gum Acquisition Corp., a wholly owned subsidiary of Watson Pharmaceuticals, Inc., pursuant to which Circa Pharmaceuticals Inc. was acquired by Watson Pharmaceuticals Inc. Previously, Circa Pharmaceuticals, Inc.",0000013006,Copiague,Circa Pharmaceuticals Inc,I,,01,11-1966265,,USA,12.0,3520,352020,35,35202010,D,NY,USA,325412,516-842-8383,,,01,2834,285.0,905.0,,NY,0.0,,1995-07-31,
25,BRISTOL-MYERS SQUIBB CO,002403,"430 East 29th Street, 14th Floor",,,,10016,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, and markets biopharmaceutical products worldwide. It offers products for hematology, oncology, cardiovascular, immunology, fibrotic, neuroscience, and covid-19 diseases.",0000014272,New York,Bristol-Myers Squibb Co,A,,,22-0790350,,USA,12.0,3520,352020,35,35202010,B,DE,USA,325412,212 546 4000,,,01,2834,280.0,905.0,B-,NY,0.0,www.bms.com,,
26,CALBIOCHEM,002610,,,,,,,,,Calbiochem,I,,01,,,USA,12.0,,,,,D,,USA,,,,,01,2835,147.0,905.0,,,0.0,,1977-11-30,
27,AQUILA BIOPHARM INC,002646,175 Crossing Boulevard,,,,01702,"As of November 17, 2000, Aquila Biopharmaceuticals, Inc. was acquired by Agenus Inc. Aquila Biopharmaceuticals, Inc.",0000704292,Framingham,Aquila Biopharm Inc,I,,01,04-3307818,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,508-628-0100,,,01,2836,147.0,905.0,,MA,0.0,,2000-11-17,
28,CAMBRIDGE MEDICAL TECH CORP,002648,575 MIDDLESEX TURNPIKE,,,,01865,,0000016595,BILLERICA,Cambridge Medical Technology Corp,I,Middlesex,10,04-2271078,,USA,6.0,3510,351010,35,35101020,D,DE,USA,325412,617-527-4799,,,01,2835,147.0,905.0,,MA,3.0,,1991-09-30,
29,CELLULAR PRODUCTS,002832,872 Main Street,,,,14202,"On November 10, 2010, Cellular Products, Inc. went out of business. Cellular Products, Inc. does not have significant operations. Previously, the company was engaged in the development and marketing of biotechnology products for research purposes.",0000718585,Buffalo,Cellular Products,I,,07,16-1183105,,USA,12.0,3520,352010,35,35201010,D,NY,USA,325413,716-882-0920,,,01,2835,147.0,905.0,,NY,3.0,,1996-11-30,
30,CENTOCOR INC,002846,800 Ridgeview Drive,,,,19044,"Janssen Biotech, Inc., a biopharmaceutical company, specializes in the development and commercialization of therapeutic products for patients and the healthcare community. Its products are developed primarily through monoclonal antibody technology.",0000708823,Horsham,Centocor Inc,I,,01,23-2117202,610 651 6100,USA,12.0,3520,352010,35,35201010,D,PA,USA,325414,215 325 3562,,,01,2836,147.0,905.0,,PA,0.0,,1999-10-07,
31,CETUS CORP,002901,4560 Horton Street,,,,94608,"Cetus Oncology Corporation, doing business as Chiron Therapeutics, provides blood testing, vaccines testing services and markets biopharmaceuticals. The company was formerly known as Cetus Corporation and changed its name to Cetus Oncology Corporation in 1992.",0000350383,Emeryville,Cetus Corp,I,,01,94-2162416,,USA,6.0,3520,352010,35,35201010,D,DE,USA,325414,,,,01,2836,147.0,905.0,,CA,0.0,,1991-12-31,
32,CHANTAL PHARMACEUTICAL CORP,002928,"5757 West Century Boulevard, Suite 700",,,,90045,"Researches, develops and markets innovative compounds for use as dermatological and skin care consumer products. Principal patented compounds for which Chantal has exclusive manufacturing and distribution rights are Ethocyn, Cyoctol and Metcyclor.",0000721408,Los Angeles,Chantal Pharmaceutical Corp,I,,07,22-2276346,,USA,6.0,3520,352020,35,35202010,D,DE,USA,325412,310-574-5588,,,01,2834,285.0,905.0,,CA,3.0,,2000-09-18,
33,CHATTEM INC,002950,1715 West 38th Street,,,,37409,"Chattem, Inc., consumer healthcare company, develops, manufactures, and markets consumer healthcare products, toiletries, and dietary supplements in the United States. The company offers pain relief, skin and hair care, and health and wellness products.",0000019520,Chattanooga,Chattem Inc,I,,01,62-0156300,423-821-6132,USA,11.0,3030,303020,30,30302010,D,TN,USA,325412,423-821-2037,,,01,2834,285.0,905.0,B,TN,0.0,www.chattem.com,2010-03-11,
34,CELSION CORP,002990,"997 Lenox Drive, Suite 100",,,,08648,"Celsion Corporation, a clinical stage biotechnology company, focuses on the development and commercialization of DNA-based immunotherapies, vaccines, and directed chemotherapies.",0000749647,Lawrenceville,Celsion Corp,A,,,52-1256615,609 896 2200,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,609 896 9100,,,01,2836,300.0,905.0,C,NJ,0.0,celsion.com,,1985-03-05
35,CHIRON CORP,003011,4560 Horton Street,,,,94608,"As of 2006, Chiron, Corp. was acquired by Novartis Vaccines and Diagnostics, Inc.Chiron, Corp. operates as a biopharmaceutical company in blood testing, vaccines, and biopharmaceuticals segments.",0000706539,Emeryville,Chiron Corp,I,,01,94-2754624,510-655-9910,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,510-655-8730,,,01,2834,147.0,905.0,B-,CA,0.0,,2006-04-20,
36,CLINICAL DATA INC,003116,"One Gateway Center, Suite 702",,,,02458,"Clinical Data, Inc. engages in the development and commercialization of therapeutic products. Its principal product includes Viibryd, a selective serotonin reuptake inhibitor and serotonin 1A (5-HT1A) receptor partial agonist for the treatment of major depressive disorder (MDD) in adults.",0000716646,Newton,Clinical Data Inc,I,,01,04-2573920,617-965-0445,USA,3.0,3520,352010,35,35201010,D,DE,USA,325414,617-527-9933,,,01,2836,230.0,940.0,C,MA,0.0,,2011-04-14,
37,CLINICAL SCIENCES INC,003117,30 Troy Road,,,,07981,,0000021038,Whippany,Clinical Sciences Inc,I,,01,22-1918231,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,,,,01,2835,147.0,905.0,,NJ,0.0,,1989-12-31,
38,COAP SYSTEMS INC,003127,4 Cedar Swamp Road,,,,11542,,,Glen Cove,Coap Systems Inc,I,,10,11-2032899,,USA,3.0,,,,,D,,USA,,516-759-1188,,,01,8731,292.0,905.0,,NY,3.0,,1987-06-30,
39,ONCOMED PHARMACEUTICALS,003169,800 Chesapeake Drive,,,,94063,"OncoMed Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on discovering and developing novel therapeutics that address the fundamental biology driving cancer's growth, resistance, recurrence, and metastasis.",0001302573,Redwood City,OncoMed Pharmaceuticals Inc,I,,01,38-3572512,650 298 8600,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 995 8200,,,01,2836,,,,CA,0.0,www.oncomed.com,2019-04-24,2013-07-18
40,OSCIENT PHARMACEUTICALS CORP,003171,1000 Winter Street,Suite 2200,,,02451,"As of June 30, 2010, Oscient Pharmaceuticals Corp. went out of business. Oscient Pharmaceuticals Corporation, a commercial-stage pharmaceutical company, sells and markets products to primary care physicians, cardiologists, endocrinologists, and pulmonologists in the United States.",0000356830,Waltham,Oscient Pharmaceuticals Corp,I,,10,04-2297484,781-893-9535,USA,12.0,3520,352010,35,35201010,B,MA,USA,325413,781-398-2300,,,01,2835,147.0,905.0,D,MA,3.0,,2010-07-07,1987-01-01
41,COOPER LABORATORIES,003499,3145 Porter Drive,,,,94304,,0000024473,Palo Alto,Cooper Laboratories,I,,03,13-1885706,,USA,10.0,3520,352020,35,35202010,D,,USA,325412,,,,01,2835,147.0,905.0,,CA,0.0,,1986-03-31,
42,GT BIOPHARMA INC,003691,"8000 Marina Boulevard, Suite 100",,,,94005,"GT Biopharma, Inc., a clinical stage biopharmaceutical company, focuses on the development and commercialization of immuno-oncology products based on its proprietary Tri-specific Killer Engager (TriKE) fusion protein immune cell engager technology platform.",0000109657,Brisbane,GT Biopharma Inc,A,,,94-1620407,,USA,12.0,3520,352010,35,35201010,B,DE,USA,325412,415 919 4040,,,01,2834,147.0,905.0,C,CA,0.0,www.gtbiopharma.com,,
43,DAMON BIOTECH INC,003729,119 Fourth Avenue,,,,02194,,0000718245,Needham Heights,Damon Biotech Inc,I,,01,04-2732999,,USA,8.0,3520,352010,35,35201010,D,DE,USA,325414,,,,01,2836,147.0,905.0,,MA,0.0,,1990-03-31,
44,DEWITT INTERNATIONAL CORP,003909,,,,,,"As of June 6, 1986, Dewitt International Corp. was acquired by Church & Dwight Co. Inc.",0000028569,,Dewitt International Corp,I,Greenville,10,,,USA,3.0,,,,,D,,USA,,,,,01,2834,285.0,905.0,,SC,3.0,,1981-12-31,
45,DEXTER CORP,003911,One Elm Street,,,,06096,"As of September 14, 2000, Dexter Corporation was acquired by Life Technologies Corporation. Dexter Corporation operated through three segments: life sciences, nonwovens, and specialty polymers, as of in June 30, 2000.",0000028582,Windsor Locks,Dexter Corp,I,,01,06-0321410,,USA,12.0,1510,151010,15,15101050,D,CT,USA,3254,860-292-7675,,,01,2834,167.0,970.0,,CT,0.0,,2000-09-15,
46,BIOQUAL INC,003915,"9600 Medical Center Drive, Suite 101",,,,20850-3336,"Bioqual, Inc. provides in-vivo and in-vitro pre-clinical research services to commercial and government clients in the United States.",0000719711,Rockville,Bioqual Inc,I,,10,13-3078199,,USA,5.0,3520,352010,35,35201010,D,DE,USA,541710,240 404 7654,,,01,8731,292.0,905.0,,MD,3.0,www.bioqual.com,2002-06-17,
47,DIAGNOSTIC PRODUCTS CORP,003917,5700 West 96th Street,,,,90045-6900,"Siemens Medical Solutions Diagnostics, Inc. develops, manufactures, and markets immuno-diagnostic systems and immunochemistry kits.",0000702259,Los Angeles,Diagnostic Products Corp,I,,01,95-2802182,310 645 9999,USA,12.0,3510,351010,35,35101010,D,CA,USA,325413,310 645 8200,,,01,2835,300.0,905.0,A,CA,0.0,,2006-07-28,
48,DOUGLAS INDUSTRIES INC-CO,004057,8906 ROSEHILL ROAD,,,,66215,"Douglas Industries, Inc. operates as a subsidiary of Merck & Co., Inc.",,LENEXA,Douglas Industries Inc-Co,I,Johnson,03,43-0947831,,USA,3.0,,,,,D,CO,USA,,913-888-8168,,,01,2836,147.0,905.0,,KS,0.0,,1981-02-28,
49,DYNASCIENCES CORP,004129,,,,,,,0000030829,,Dynasciences Corp,I,,01,,,USA,10.0,,,,,D,,USA,,,,,01,8731,292.0,905.0,,,0.0,,1974-04-30,
50,E-Z-EM INC,004162,1111 Marcus Avenue,,,,11042,"As of April 2, 2008, E-Z-EM Inc. was acquired by Bracco Diagnostics Inc. E-Z-EM Inc. provides medical products used by radiologists, gastroenterologists, and speech-language pathologists in screening for and diagnosing diseases and disorders of the GI tract.",0000727008,Lake Success,E-Z-EM Inc,I,,01,11-1999504,516-333-8278,USA,5.0,3510,351010,35,35101010,D,DE,USA,325413,516-333-8230,,,03,2835,147.0,905.0,B,NY,0.0,,2008-04-03,
51,ENZON PHARMACEUTICALS INC,004409,"20 Commerce Drive, Suite 135",,,,07016,"Enzon Pharmaceuticals, Inc., together with its subsidiaries, engages in marketing drug products. The company's marketed drug product is PegIntron. It also has a marketing agreement relating to Vicineum drug. The company was founded in 1981 and is headquartered in Cranford, New Jersey.",0000727510,Cranford,Enzon Pharmaceuticals Inc,A,,,22-2372868,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,732 980 4500,,,01,2836,147.0,905.0,C,NJ,3.0,www.enzon.com,,1984-02-15
52,ERBAMONT N.V.,004436,1266 Main Street,,,,06902,,0000719275,Stamford,Erbamont NV,I,,01,,,ANT,12.0,3520,352020,35,35202010,D,,USA,325412,,,,01,2834,285.0,905.0,,CT,0.0,,1990-01-31,
53,EVERGOOD PRODUCTS CORP,004473,200 Adams Avenue,,,,11735,"Evergood Products Corporation and its subsidiaries engage in the manufacture, franchising, and marketing of various vitamins and minerals, and dietary supplements.",0000714162,Farmingdale,Evergood Products Corp,I,,10,13-2640515,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,,,,01,2834,285.0,905.0,,NY,3.0,,1993-03-31,
54,FCS LABS INC,004529,2330 S Industrial Park Ave,,,,85282,,0000719130,Tempe,FCS Laboratories Inc,I,,10,95-2568559,,USA,9.0,3510,351010,35,35101020,D,AZ,USA,325413,602-966-7248,,,01,2835,147.0,905.0,,AZ,3.0,,1998-12-14,
55,FARADAY LABORATORIES INC,004570,100 Hoffman Place,,,,07205,"As of Nov 25, 1986, Faraday Laboratories Inc. was acquired by Valeant Pharmaceuticals International.",0000034495,Hillside,Faraday Laboratories Inc,I,,01,22-1478764,,USA,4.0,3520,352020,35,35202010,D,,USA,325412,,,,01,2834,285.0,905.0,,NJ,0.0,,1987-07-31,
56,CALADRIUS BIOSCIENCES INC,004632,"110 Allen Road, 2nd Floor",,,,07920,"Caladrius Biosciences, Inc., a clinical-stage biopharmaceutical company, focuses on developing and commercializing cellular therapies to reverse disease and/or promote the regeneration of damaged tissue.",0000320017,Basking Ridge,Caladrius Biosciences Inc,A,,,22-2343568,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,908 842 0100,,,02,2836,850.0,800.0,C,NJ,0.0,www.caladrius.com,,
57,FOREST LABORATORIES  -CL A,004843,909 Third Avenue,,,,10022,"Forest Laboratories, LLC develops, manufactures, and sells branded forms of ethical drug products in the United States and Europe.",0000038074,New York,Forest Laboratories Inc,I,,01,11-1798614,,USA,3.0,3520,352020,35,35202010,D,DE,USA,325412,212-421-7850,,,01,2834,285.0,905.0,B-,NY,0.0,cerexa.com,2014-07-01,
58,GAMMA BIOLOGICALS INC,004985,3700 Mangum Road,,,,77092,"Gamma Biologicals, Inc. manufactures reagents and systems used for IN-VITRO diagnostic testing. As of October 27, 1998, Gamma Biologicals, Inc. operates as a subsidiary of Immucor Inc.",0000317890,Houston,Gamma Biologicals Inc,I,,01,74-1668436,,USA,3.0,3520,352010,35,35201010,D,TX,USA,325413,713-681-8481,,,01,2835,147.0,905.0,,TX,0.0,,1998-11-02,
59,GENENTECH INC,005020,1 DNA Way,,,,94080,"Genentech, Inc. discovers, develops, manufactures, and commercializes medicines to treat patients with serious or life-threatening medical conditions in the United States.",0000318771,South San Francisco,Genentech Inc,I,,01,94-2347624,650 225 6000,USA,12.0,3520,352010,35,35201010,B,DE,USA,325412,650 225 1000,,,04,2834,285.0,905.0,B,CA,0.0,www.gene.com,2009-03-30,1999-07-20
60,GENETIC SYSTEMS CORP,005114,3005 FIRST AVENUE,,,,98121,"As of 1985, Genetics Systems Corp. was acquired by Bristol-Myers Squibb Company. GS produced diagnostics for sexually transmitted diseases and monoclonal antibody therapeutics.",0000351598,SEATTLE,Genetic Systems Corp,I,King,01,91-1131601,,USA,12.0,3520,352010,35,35201010,D,,USA,541710,206-728-4900,,,01,8731,292.0,905.0,,WA,0.0,,1986-03-31,
61,GENETIC DIAGNOSTICS CORP,005115,160 Community Drive,,,,10021,"Genetic Diagnostics Corporation engages in susceptibility testing for inheritable genetic conditions. It involves in testing for the genes associated with Huntington's disease, cystic fibrosis, and hereditary cancers. The company serves hospitals, doctors, and insurance companies.",0001144878,Great Neck,Genetic Diagnostics Corp,I,,10,11-2568787,,USA,12.0,3520,352010,35,35201010,D,NY,USA,541710,,,,01,8731,292.0,905.0,,NY,3.0,,1990-03-31,
62,GENEX CORP,005118,16020 INDUSTRIAL DRIVE,,,,20877,,0000704695,GAITHERSBURG,Genex Corp,I,Montgomery,01,52-1111044,,USA,12.0,3520,352010,35,35201010,D,DE,USA,541710,301-258-0552,,,01,8731,292.0,905.0,,MD,0.0,,1991-11-30,
63,WESTERN SIERRA RESOURCE CORP,005202,6175 Plumtree Lane,,,,73034,"Western Sierra Mining Corp. engages in the exploration and mining of mineral properties in Arizona and Nevada. It principally explores for gold, silver, and precious other metals and minerals.",0000042050,Edmond,Western Sierra Resource Corp,A,,,87-0267213,,USA,12.0,5510,551040,55,55104010,D,UT,USA,325412,928 680 5513,,,01,2834,850.0,800.0,,OK,3.0,westernsierraresource.com,,
64,KYTHERA BIOPHARMA INC,005241,"30930 Russell Ranch Road, Third Floor",,,,91362,"KYTHERA Biopharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery, development, and commercialization of prescription products for the aesthetic medicine market in the United States and internationally.",0001436304,Westlake Village,KYTHERA Biopharmaceuticals Inc,I,,01,03-0552903,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,818-587-4500,,,01,2836,,,,CA,0.0,www.kythera.com,2015-10-02,2012-10-11
65,ALSERES PHARMACEUTICALS INC,005336,"275 Grove Street, Suite 2-400",,,,02466,"Alseres Pharmaceuticals, Inc. focuses on developing diagnostic and therapeutic products primarily for disorders in the central nervous system. Its lead product candidate is Altropane, a molecular imaging agent for the diagnosis of Parkinson's disease and dementia.",0000094784,Auburndale,Alseres Pharmaceuticals Inc,A,,,87-0277826,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,617-419-3289,,,01,2834,285.0,905.0,C,MA,3.0,www.alseres.com,,
66,GUARDIAN CHEMICAL CORP,005364,,,,,,,0000044376,,Guardian Chemical Corp,I,Suffolk,01,,,USA,3.0,,,,,D,,USA,,,,,01,2834,285.0,905.0,,NY,0.0,,1982-02-28,
67,HAZLETON LABORATORIES CORP,005536,"13873 Park Center Road, Suite 580",,,,22071,,0000046389,Herndon,Hazleton Laboratories Corp,I,,01,91-0842590,,USA,6.0,3520,352010,35,35201010,D,,USA,541710,,,,01,8731,292.0,905.0,,VA,0.0,,1987-04-30,
68,HICKAM (DOW B.) INC,005620,530 Davis Drive,,,,27713,"Mylan Bertek Pharmaceuticals, Inc., a pharmaceutical company, engages in the development, manufacture, and marketing of proprietary healthcare products for dermatology, neurology, and cardiology.  The company was founded as Dow Hickam Pharmaceuticals, Inc.",0000736915,Durham,Hickam (Dow B.) Inc,I,,01,74-1486230,304-285-6453,USA,12.0,3520,352020,35,35202010,D,TX,USA,325412,919-991-9800,,,01,2834,285.0,905.0,,NC,0.0,,1991-10-31,
69,HYCOR BIOMEDICAL INC,005798,7272 Chapman Avenue,,,,92841,HYCOR Biomedical Inc. manufactures and markets in vitro diagnostics products.,0000719447,Garden Grove,Hycor Biomedical Inc,I,,01,58-1437178,714-933-3222,USA,12.0,3510,351010,35,35101010,D,DE,USA,325413,800-382-2527,,,01,2835,147.0,905.0,,CA,0.0,www.hycorbiomedical.com,2004-06-03,
