,gvkey,conm,datadate1,datadate2,cik,source,coname,fndate,lndate,n10k,n10k_nt,n10k_a,n10q,n10q_nt,n10q_a,ndef,n8k,ntot,flag
61,007694,MARINA BIOTECH INC -OLD,1984-06-30,2015-12-31,0000737207,FDATE,"ADHERA THERAPEUTICS, INC.",1995-10-16,2024-01-30,41.0,7.0,6.0,103.0,14.0,4.0,32.0,291.0,1210.0,2.0
62,007798,NBTY INC,1982-12-31,2015-09-30,0000070793,COMPN,NBTY INC,1995-04-25,2016-05-13,24.0,1.0,3.0,66.0,0.0,5.0,23.0,171.0,642.0,3.0
63,007799,NATURES SUNSHINE PRODS INC,1978-12-31,2023-12-31,0000275053,COMPN,NATURES SUNSHINE PRODUCTS INC,1995-03-28,2024-05-09,36.0,2.0,5.0,85.0,3.0,0.0,41.0,198.0,1267.0,3.0
64,007850,LIPID SCIENCES INC,1966-12-31,2007-12-31,0000071478,COMPN,LIPID SCIENCES INC/,1994-08-08,2013-07-31,16.0,2.0,1.0,47.0,1.0,3.0,14.0,84.0,341.0,3.0
65,007850,LIPID SCIENCES INC,1966-12-31,2007-12-31,0001112782,CUSIP,LIPID SCIENCES INC,2001-07-19,2006-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0
66,007850,LIPID SCIENCES INC,1966-12-31,2007-12-31,0001112782,FDATE,LIPID SCIENCES INC,2001-07-19,2006-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0
67,008333,PAR PHARMACEUTCL HLDGS -REDH,1984-09-30,2014-12-31,0000878088,FDATE,"PAR PHARMACEUTICAL COMPANIES, INC.",1994-12-29,2015-09-21,26.0,1.0,5.0,76.0,6.0,11.0,26.0,137.0,838.0,2.0
68,008333,PAR PHARMACEUTCL HLDGS -REDH,1984-09-30,2014-12-31,0000878088,COMPH,"PAR PHARMACEUTICAL COMPANIES, INC.",1994-12-29,2015-09-21,26.0,1.0,5.0,76.0,6.0,11.0,26.0,137.0,838.0,2.0
69,008333,PAR PHARMACEUTCL HLDGS -REDH,1984-09-30,2014-12-31,0000878088,CUSIP,"PAR PHARMACEUTICAL COMPANIES, INC.",1994-12-29,2015-09-21,26.0,1.0,5.0,76.0,6.0,11.0,26.0,137.0,838.0,2.0
70,008333,PAR PHARMACEUTCL HLDGS -REDH,1984-09-30,2014-12-31,0001142576,CUSIP,OPTIMER PHARMACEUTICALS INC,2005-05-13,2015-03-26,9.0,1.0,1.0,20.0,0.0,0.0,16.0,98.0,566.0,2.0
71,008333,PAR PHARMACEUTCL HLDGS -REDH,1984-09-30,2014-12-31,0001559149,COMPN,"PAR PHARMACEUTICAL HOLDINGS, INC.",2012-10-12,2015-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0
72,008488,APPLIED BIOSYSTEMS INC,1954-07-31,2008-06-30,0000077551,COMPN,APPLIED BIOSYSTEMS INC.,1994-02-14,2011-02-11,18.0,0.0,3.0,46.0,0.0,1.0,37.0,99.0,1170.0,3.0
73,008488,APPLIED BIOSYSTEMS INC,1954-07-31,2008-06-30,0000719545,FDATE,APPLIED BIOSYSTEMS INC,1994-02-14,2008-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
74,008530,PFIZER INC,1950-12-31,2023-12-31,0000078003,COMPN,PFIZER INC,1994-03-18,2024-06-04,31.0,0.0,1.0,94.0,0.0,3.0,70.0,334.0,6342.0,3.0
75,009236,RHONE-POULENC RORER,1961-12-31,1996-12-31,0000217028,COMPN,AVENTIS INC,1994-03-17,2010-02-11,5.0,0.0,1.0,12.0,0.0,0.0,4.0,13.0,109.0,2.0
76,009330,PROVECTUS BIOPHARMACEUTICALS,1980-12-31,2023-12-31,0000315545,COMPN,"PROVECTUS BIOPHARMACEUTICALS, INC.",2000-03-31,2024-05-28,38.0,5.0,8.0,86.0,2.0,8.0,42.0,279.0,933.0,3.0
77,009340,VALEANT PHARMACEUTICALS -OLD,1982-11-30,2009-12-31,0000049601,FDATE,ICN PHARMACEUTICALS INC /DE/,1994-01-04,2002-04-19,2.0,0.0,1.0,2.0,0.0,0.0,22.0,0.0,33.0,2.0
78,009340,VALEANT PHARMACEUTICALS -OLD,1982-11-30,2009-12-31,0000723046,CUSIP,SPI PHARMACEUTICALS INC,1994-02-11,1995-02-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0
79,009340,VALEANT PHARMACEUTICALS -OLD,1982-11-30,2009-12-31,0000930184,COMPN,VALEANT PHARMACEUTICALS INTERNATIONAL,1994-09-30,2015-05-27,28.0,1.0,12.0,61.0,1.0,12.0,137.0,190.0,1384.0,3.0
80,009340,VALEANT PHARMACEUTICALS -OLD,1982-11-30,2009-12-31,0001137668,FDATE,ICN COMMITTEE TO MAXIMIZE SHAREHOLDER VALUE,2001-04-05,2001-05-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,2.0
81,009459,SCHERING-PLOUGH,1951-12-31,2008-12-31,,NOLNK,,,,,,,,,,,,,0.0
82,009459,SCHERING-PLOUGH,1951-12-31,2008-12-31,0000310158,COMPH,"MERCK & CO., INC.",1994-03-07,2024-06-04,40.0,0.0,9.0,92.0,0.0,1.0,54.0,265.0,2767.0,2.0
83,009459,SCHERING-PLOUGH,1951-12-31,2008-12-31,0000310158,FDATE,"MERCK & CO., INC.",1994-03-07,2024-06-04,40.0,0.0,9.0,92.0,0.0,1.0,54.0,265.0,2767.0,2.0
84,009459,SCHERING-PLOUGH,1951-12-31,2008-12-31,0000310158,CUSIP,"MERCK & CO., INC.",1994-03-07,2024-06-04,40.0,0.0,9.0,92.0,0.0,1.0,54.0,265.0,2767.0,2.0
85,009699,SIGMA-ALDRICH CORP,1975-12-31,2014-12-31,0000090185,COMPN,SIGMA ALDRICH CORP,1994-02-08,2016-02-02,22.0,0.0,1.0,71.0,0.0,5.0,53.0,174.0,1409.0,3.0
86,010902,UNITED-GUARDIAN INC,1975-02-28,2023-12-31,0000101295,COMPN,UNITED GUARDIAN INC,1995-05-12,2024-05-21,32.0,0.0,2.0,90.0,0.0,2.0,31.0,174.0,459.0,3.0
87,011183,VIRAGEN INC,1982-12-31,2006-06-30,0000353482,COMPN,VIRAGEN INC,1995-05-16,2008-10-06,23.0,4.0,7.0,56.0,5.0,14.0,17.0,55.0,429.0,3.0
88,011793,ALLIANCE PHARMACEUTICAL,1985-06-30,2009-06-30,0000736994,COMPN,ALLIANCE PHARMACEUTICAL CORP.,1995-01-24,2013-10-18,23.0,5.0,3.0,52.0,2.0,3.0,14.0,47.0,290.0,3.0
89,011914,IMMUCOR INC,1985-05-31,2016-05-31,0000736822,COMPN,IMMUCOR INC,1995-04-10,2017-07-25,30.0,2.0,6.0,72.0,3.0,3.0,34.0,121.0,834.0,3.0
90,011929,ACURA PHARMACEUTICALS INC,1985-12-31,2021-12-31,0000786947,COMPN,"ACURA PHARMACEUTICALS, INC",1995-10-24,2024-06-04,45.0,12.0,7.0,102.0,15.0,9.0,30.0,362.0,1178.0,3.0
91,012180,OSI PHARMACEUTICALS INC,1985-09-30,2009-12-31,0000729922,COMPN,OSI PHARMACEUTICALS INC,1994-11-15,2011-02-14,30.0,0.0,15.0,50.0,0.0,4.0,18.0,204.0,1197.0,3.0
92,012181,REPLIGEN CORP,1986-03-31,2023-12-31,0000730272,COMPN,REPLIGEN CORP,1995-06-29,2024-05-22,33.0,2.0,1.0,88.0,1.0,0.0,36.0,228.0,1184.0,3.0
93,012233,GENZYME CORP,1996-12-31,2010-12-31,0000732485,COMPN,GENZYME CORP,1995-02-14,2011-04-18,28.0,0.0,12.0,57.0,0.0,9.0,69.0,177.0,1530.0,3.0
94,012250,AMAG PHARMACEUTICALS INC,1985-09-30,2019-12-31,0000792977,COMPN,"AMAG PHARMACEUTICALS, INC.",1995-05-10,2021-02-16,28.0,0.0,3.0,82.0,1.0,2.0,39.0,261.0,1543.0,3.0
95,012250,AMAG PHARMACEUTICALS INC,1985-09-30,2019-12-31,0001168335,CUSIP,ABBOTT MEDICAL OPTICS INC,2002-03-01,2009-03-17,8.0,1.0,0.0,22.0,0.0,1.0,6.0,125.0,659.0,2.0
96,012252,XOMA CORP,1985-12-31,2023-12-31,0000791908,COMPN,XOMA CORP,1996-04-23,2024-05-30,28.0,0.0,4.0,77.0,0.0,10.0,35.0,271.0,1376.0,3.0
97,012252,XOMA CORP,1985-12-31,2023-12-31,0001074404,FDATE,XOMA LTD,1995-09-29,2024-05-20,10.0,0.0,5.0,20.0,0.0,1.0,8.0,24.0,133.0,2.0
98,012257,GLOBEIMMUNE INC,2009-12-31,2015-12-31,0001245104,COMPN,GLOBEIMMUNE INC,2003-06-20,2017-03-23,4.0,0.0,2.0,7.0,0.0,1.0,2.0,23.0,153.0,3.0
99,012274,CYTOGEN CORP,1985-12-31,2007-12-31,0000725058,COMPN,CYTOGEN CORP,1994-02-14,2008-07-17,19.0,0.0,5.0,44.0,2.0,2.0,18.0,117.0,499.0,3.0
100,012274,CYTOGEN CORP,1985-12-31,2007-12-31,0001030653,CUSIP,CURAGEN CORP,1997-10-16,2010-02-16,14.0,0.0,3.0,41.0,0.0,5.0,18.0,145.0,511.0,3.0
101,012377,RESEARCH FRONTIERS INC,1985-12-31,2023-12-31,0000793524,COMPN,RESEARCH FRONTIERS INC,1995-08-14,2024-05-09,32.0,0.0,3.0,96.0,0.0,9.0,33.0,217.0,873.0,3.0
102,012433,MERIDIAN BIOSCIENCE INC,1985-09-30,2022-09-30,0000794172,COMPN,MERIDIAN BIOSCIENCE INC,1995-08-02,2023-02-13,31.0,0.0,3.0,88.0,0.0,5.0,37.0,175.0,1370.0,3.0
103,012575,CYANOTECH CORP,1985-12-31,2023-03-31,0000768408,COMPN,CYANOTECH CORP,1995-09-08,2024-04-10,39.0,5.0,6.0,96.0,4.0,6.0,34.0,125.0,774.0,3.0
104,012711,CEL-SCI CORP,1985-09-30,2023-09-30,0000725363,COMPN,CEL SCI CORP,1996-04-10,2024-05-15,58.0,13.0,16.0,121.0,8.0,27.0,45.0,185.0,1673.0,3.0
105,012713,ABEONA THERAPEUTICS INC,1986-03-31,2023-12-31,0000318306,COMPN,ABEONA THERAPEUTICS INC.,1995-08-15,2024-06-05,35.0,2.0,4.0,105.0,8.0,11.0,39.0,248.0,1065.0,3.0
106,012717,ANIXA BIOSCIENCES INC,1985-10-31,2023-10-31,0000715446,COMPN,ANIXA BIOSCIENCES INC,1995-06-09,2024-06-04,48.0,6.0,13.0,98.0,4.0,6.0,40.0,109.0,901.0,3.0
107,012757,W WORLD CORP,1985-12-31,2011-12-31,0000713275,COMPN,PHARMOS CORP,1995-02-07,2019-03-22,24.0,1.0,6.0,60.0,1.0,7.0,16.0,115.0,554.0,2.0
108,012757,W WORLD CORP,1985-12-31,2011-12-31,0000880042,FDATE,PHARMOS CORPORATION,2006-11-02,2010-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
109,012757,W WORLD CORP,1985-12-31,2011-12-31,0000880042,CUSIP,PHARMOS CORPORATION,2006-11-02,2010-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
110,012758,ETHIGEN INC,1985-06-30,1987-06-30,0000754880,COMPN,,,,,,,,,,,,,0.0
111,012818,PERSPECTIVE THERAPEUTICS INC,1985-09-30,2023-12-31,0000728387,COMPN,"PERSPECTIVE THERAPEUTICS, INC.",1995-08-22,2024-06-05,41.0,6.0,6.0,98.0,5.0,7.0,36.0,278.0,979.0,3.0
112,012828,NUTRITION 21 INC,1985-12-31,2011-06-30,0000744962,COMPN,NXXI INC.,1995-09-18,2012-02-14,34.0,5.0,12.0,58.0,1.0,9.0,20.0,106.0,479.0,2.0
113,012915,ORASURE TECHNOLOGIES INC,1985-09-30,2023-12-31,0000801555,CUSIP,EPITOPE INC/OR/,1995-05-15,2000-11-22,8.0,0.0,3.0,20.0,0.0,3.0,7.0,22.0,89.0,2.0
114,012915,ORASURE TECHNOLOGIES INC,1985-09-30,2023-12-31,0000801555,FDATE,EPITOPE INC/OR/,1995-05-15,2000-11-22,8.0,0.0,3.0,20.0,0.0,3.0,7.0,22.0,89.0,2.0
115,012915,ORASURE TECHNOLOGIES INC,1985-09-30,2023-12-31,0001116463,COMPN,ORASURE TECHNOLOGIES INC,2000-06-14,2024-06-06,26.0,0.0,2.0,74.0,0.0,2.0,48.0,296.0,1339.0,3.0
116,012942,REGENERX BIOPHARMACEUTICALS,1986-03-31,2022-12-31,0000707511,COMPN,REGENERX BIOPHARMACEUTICALS INC,1994-02-14,2023-08-14,38.0,6.0,5.0,86.0,3.0,4.0,27.0,105.0,760.0,3.0
117,012947,LECTEC CORP  -OLD,1986-06-30,2010-12-31,,NOLNK,,,,,,,,,,,,,0.0
118,012947,LECTEC CORP  -OLD,1986-06-30,2010-12-31,0000805928,CUSIP,"AXOGEN, INC.",1995-05-12,2024-06-06,42.0,4.0,8.0,92.0,3.0,2.0,29.0,189.0,1157.0,2.0
119,012947,LECTEC CORP  -OLD,1986-06-30,2010-12-31,0000805928,COMPH,"AXOGEN, INC.",1995-05-12,2024-06-06,42.0,4.0,8.0,92.0,3.0,2.0,29.0,189.0,1157.0,2.0
120,012947,LECTEC CORP  -OLD,1986-06-30,2010-12-31,0000805928,FDATE,"AXOGEN, INC.",1995-05-12,2024-06-06,42.0,4.0,8.0,92.0,3.0,2.0,29.0,189.0,1157.0,2.0
121,013184,LADRX CORP,1986-12-31,2023-12-31,0000799698,COMPN,LADRX CORP,1995-10-30,2024-06-06,43.0,4.0,10.0,101.0,3.0,12.0,53.0,277.0,1014.0,3.0
122,013235,IMMUCELL CORP,1986-12-31,2023-12-31,0000811641,COMPN,IMMUCELL CORP /DE/,1995-08-03,2024-06-06,30.0,0.0,1.0,94.0,1.0,6.0,31.0,223.0,702.0,3.0
123,013288,ROCK CREEK PHARMACEUTICALS,1986-12-31,2015-12-31,0000776008,COMPN,"ROCK CREEK PHARMACEUTICALS, INC.",1996-08-07,2023-02-14,36.0,3.0,13.0,72.0,2.0,8.0,24.0,171.0,721.0,3.0
