Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Listed Org,1 800 CONTACTS INC (De-listed 09/2007),IFS CONSTRUCTION SERVICES LTD (Advanced Ocular Systems Ltd prior to 07/2009) (De-listed 09/2015),Steve Newman,2004,2007,Executive Officer (Non-Brd),Independent NED (Brd) (SD),Quoted,3,1094770,341621,Executive Officer,Non-Brd,,2004,2007,2002-01-01,2007-09-07,2004-04-05,2009-07-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Igel Visioncare Pte Ltd,Steve Newman,2002,2002,Executive Officer (Non-Brd),CEO (Brd) (ED),Private,3,631250,341621,Executive Officer,Non-Brd,,2002,2002,2002-01-01,2007-09-07,2001-01-01,2002-07-24,Quoted
NFP,1 800 CONTACTS INC (De-listed 09/2007),Junior Achievement of Utah,Scott Tanner,1999,2001,COO/CFO (Brd) (ED),Vice Chairman,Charities,3,821687,341583,COO/CFO,Brd,ED,1999,2001,1999-11-01,2003-01-09,,,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Menicon Co Ltd (Listed 06/2015),Steve Newman,2007,2007,Executive Officer (Non-Brd),Vice President - Research & Development (Non-Brd),Private,3,1487192,341621,Executive Officer,Non-Brd,,2007,2007,2002-01-01,2007-09-07,2007-06-15,2010-12-02,Quoted
NFP,1 800 CONTACTS INC (De-listed 09/2007),Junior Achievement of Utah,Scott Tanner,2001,2003,COO/CFO (Brd) (ED),Director - SD,Charities,3,821687,341583,COO/CFO,Brd,ED,2001,2003,1999-11-01,2003-01-09,,,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Clearlab International Pte Ltd,Steve Newman,2002,2003,Executive Officer (Non-Brd),Chief Technology Officer (Non-Brd),Private,3,864210,341621,Executive Officer,Non-Brd,,2002,2003,2002-01-01,2007-09-07,2002-01-01,,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Quicken Loans LLC (Rocket Mortgage) (Quicken Loans Inc prior to 04/2020),David Katzman,2003,2004,Independent Director (Brd) (SD),Vice Chairman (Brd) (SD),Private,3,103172,341168,Independent Director,Brd,SD,2003,2004,2003-01-30,2004-02-26,2002-01-01,2009-01-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Retirement Living TV,Brad Knight,2006,2007,Independent Director (Brd) (SD),President/CEO (Non-Brd),Private,3,949941,341132,Independent Director,Brd,SD,2006,2007,2000-08-01,2007-09-07,2006-03-01,2010-08-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Yacktman Funds Inc,Stephen Yacktman,2002,2005,Independent Director (Brd) (SD),Portfolio Manager (Non-Brd),Private,3,642642,341118,Independent Director,Brd,SD,2002,2005,1996-02-01,2005-08-02,2002-12-01,,Quoted
Listed Org,1 800 CONTACTS INC (De-listed 09/2007),GRANDVISION (De-listed 03/2004),Edward Butler,1998,1998,Independent Director (Brd) (SD),Chairman (Brd) (SD),Quoted,3,13761,340871,Independent Director,Brd,SD,1998,1998,1998-01-01,2007-09-07,1997-01-01,1998-01-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Flextronics Corp,Brad Knight,2000,2002,Independent Director (Brd) (SD),Senior VP/General Manager (Non-Brd),Private,3,627245,341132,Independent Director,Brd,SD,2000,2002,2000-08-01,2007-09-07,2000-07-01,2002-01-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Eyeshop.com Inc,Edward Butler,1999,2001,Independent Director (Brd) (SD),Chairman (Brd) (ED),Private,3,647112,340871,Independent Director,Brd,SD,1999,2001,1998-01-01,2007-09-07,1999-12-01,2001-05-23,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Adaptix Inc,Brad Knight,2004,2005,Independent Director (Brd) (SD),Executive VP - Ops (Non-Brd),Private,3,751743,341132,Independent Director,Brd,SD,2004,2005,2000-08-01,2007-09-07,2004-10-01,2005-11-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Polaroid Eyeware,Edward Butler,1998,1999,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,3,576670,340871,Independent Director,Brd,SD,1998,1999,1998-01-01,2007-09-07,1998-05-01,1999-12-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Camelot Ventures LLC,David Katzman,2003,2004,Independent Director (Brd) (SD),Managing Partner (Brd) (ED),Private,3,627743,341168,Independent Director,Brd,SD,2003,2004,2003-01-30,2004-02-26,1999-01-01,2008-10-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),CleanBrands LLC,David Katzman,2003,2004,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,3,1639416,341168,Independent Director,Brd,SD,2003,2004,2003-01-30,2004-02-26,2000-01-01,2009-04-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),TAC Worldwide Co (Technical Aid Corp prior to 1997),Brian Bethers,2003,2003,CFO (Non-Brd),CFO (Non-Brd),Private,3,125392,341217,CFO,Non-Brd,,2003,2003,2003-07-09,2004-02-24,2001-01-01,2003-07-01,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Clearlab International Pte Ltd,Graham Mullis,2002,2006,Executive Officer (Non-Brd),President/MD (Brd) (ED),Private,3,864210,341397,Executive Officer,Non-Brd,,2002,2006,2002-12-01,2006-11-20,2002-12-01,2006-11-20,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Storm Windows Ltd,Edward Butler,2001,2001,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,3,1698763,340871,Independent Director,Brd,SD,2001,2001,1998-01-01,2007-09-07,2001-04-18,2001-09-22,Quoted
Unlisted Org,1 800 CONTACTS INC (De-listed 09/2007),Peterschmidt Ventures,Jason Subotky,2000,2001,Independent Director (Brd) (SD),General Partner (Non-Brd),Private,3,642648,341153,Independent Director,Brd,SD,2000,2001,2000-03-01,2005-08-02,1999-01-01,2001-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Mobile Marketing Association Inc (MMA),Amit Shah,2014,2017,Senior VP - Mktg (Non-Brd),Director - SD,Private,6,854293,2365698,Senior VP - Mktg,Non-Brd,,2014,2017,2014-10-01,2017-02-01,,,Quoted
Other,1-800-FLOWERS.COM INC,Mobile Marketing Association Inc (MMA),Amit Shah,2013,2014,Vice President (Non-Brd),Director - SD,Private,6,854293,2365698,Vice President,Non-Brd,,2013,2014,2012-10-01,2014-10-01,,,Quoted
Other,1-800-FLOWERS.COM INC,Mobile Marketing Association Inc (MMA),Amit Shah,2020,2021,Division President - Ops (Non-Brd),Director - SD,Private,6,854293,2365698,Division President - Ops,Non-Brd,,2020,2021,2020-08-01,2021-12-01,,,Quoted
Other,1-800-FLOWERS.COM INC,Mobile Marketing Association Inc (MMA),Amit Shah,2017,2020,Chief Marketing Officer (Non-Brd),Director - SD,Private,6,854293,2365698,Chief Marketing Officer,Non-Brd,,2017,2020,2017-03-01,2020-08-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,PersonalizationMall.com LLC,Andrew Deren,2020,2023,Division President (Non-Brd),President (Non-Brd),Private,6,2399299,2355877,Division President,Non-Brd,,2020,2023,2020-08-01,2023-12-01,2020-08-01,2023-12-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,West Virginia Media Holdings LLC,Steve Roberts,2020,Curr,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,251577,2280810,Senior VP - Business Development,Non-Brd,,2020,,2020-06-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Precyse Solutions Inc,Steve Roberts,2020,Curr,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,660657,2280810,Senior VP - Business Development,Non-Brd,,2020,,2020-06-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,OrthoNet LLC,Steve Roberts,2020,Curr,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,1829448,2280810,Senior VP - Business Development,Non-Brd,,2020,,2020-06-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Council Tree Communications LLC,Steve Roberts,2021,Curr,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,3169382,2280810,Senior VP - Business Development,Non-Brd,,2021,,2020-06-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Digital Media Services Inc (DMS),Steve Roberts,2020,2021,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,2726454,2280810,Senior VP - Business Development,Non-Brd,,2020,2021,2020-06-01,,,2021-05-21,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bresnan Communications Inc,Steve Roberts,2020,Curr,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,804167,2280810,Senior VP - Business Development,Non-Brd,,2020,,2020-06-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,J5 Infrastructure Partners LLC,Steve Roberts,2020,Curr,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,2414479,2280810,Senior VP - Business Development,Non-Brd,,2020,,2020-06-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,J5 Communications LLC,Steve Roberts,2020,Curr,Senior VP - Business Development (Non-Brd),Director - SD (Brd) (SD),Private,6,3437138,2280810,Senior VP - Business Development,Non-Brd,,2020,,2020-06-01,,,,Quoted
Other,1-800-FLOWERS.COM INC,Vassar College,Steve Roberts,2020,Curr,Senior VP - Business Development (Non-Brd),Committee Member,Universities,6,62845,2280810,Senior VP - Business Development,Non-Brd,,2020,,2020-06-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Google LLC (Google Inc prior to 09/2017),Steph Hofmann,2020,Curr,Independent Director (Brd) (SD),MD (Non-Brd),Private,6,2345095,2408676,Independent Director,Brd,SD,2020,,2020-12-09,,2020-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Laura Ashley Inc,Mark Nemery,1997,1997,Various Positions (Non-Brd),Various Positions (Non-Brd),Private,6,600994,2205663,Various Positions,Non-Brd,,1997,1997,1997-02-01,1999-08-01,1993-01-01,1997-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,BloomNet Inc,Dinesh Popat,2019,Curr,Division President (Non-Brd),President (Non-Brd),Private,6,947020,2157370,Division President,Non-Brd,,2019,,2019-03-18,,2019-03-18,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Confabb.com,Jon Mandell,2008,2009,Executive (Non-Brd),COO (Non-Brd),Private,6,1226908,2605589,Executive,Non-Brd,,2008,2009,2008-09-01,2014-01-01,2006-06-01,2009-06-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Vin Social Corp,Jason John,2022,Curr,Chief Marketing Officer (Non-Brd),Advisor (Non-Brd),Clubs,6,3530435,2607476,Chief Marketing Officer,Non-Brd,,2022,,2022-04-01,,2020-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,AI for the Planet,Christina Shim,2023,Curr,Director - SD (Brd) (SD),Advisor (Non-Brd),Private,6,3582450,2779779,Director - SD,Brd,SD,2023,,2023-12-14,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,IBM Software Inc,Christina Shim,2023,Curr,Director - SD (Brd) (SD),Global Head of Products (Non-Brd),Private,6,3512431,2779779,Director - SD,Brd,SD,2023,,2023-12-14,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Intelliseek Inc,Kevin O'Connor,2000,2005,Independent Director (Brd) (SD),Advisor (Non-Brd),Private,6,112017,141620,Independent Director,Brd,SD,2000,2005,1999-07-01,2006-12-07,2000-01-01,2005-01-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,DOUBLECLICK INC (De-listed 07/2005),Kevin O'Connor,2000,2005,Independent Director (Brd) (SD),Chairman (Brd) (SD),Quoted,6,9549,141620,Independent Director,Brd,SD,2000,2005,1999-07-01,2006-12-07,2000-07-01,2005-07-15,Quoted
Listed Org,1-800-FLOWERS.COM INC,DOUBLECLICK INC (De-listed 07/2005),Kevin O'Connor,1999,2000,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Quoted,6,9549,141620,Independent Director,Brd,SD,1999,2000,1999-07-01,2006-12-07,1996-01-01,2000-07-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,ScOp Venture Capital LLC (Formerly known as O'Connor Ventures),Kevin O'Connor,2001,2006,Independent Director (Brd) (SD),Founder (Non-Brd),Private,6,855983,141620,Independent Director,Brd,SD,2001,2006,1999-07-01,2006-12-07,2001-01-01,2008-01-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNET SECURITY SYSTEMS INC (De-listed 10/2006),Kevin O'Connor,1999,2006,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,16407,141620,Independent Director,Brd,SD,1999,2006,1999-07-01,2006-12-07,1995-10-01,2006-10-23,Quoted
Education,ADC TELECOMMUNICATIONS INC (De-listed 12/2010),University of Minnesota,Tony Tong,1990,1991,,,Universities,763,62475,510273,,,,1990,1991,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,PINNACOR INC (ScreamingMedia prior to 11/2002) (De-listed 01/2004),Kevin O'Connor,2000,2004,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Quoted,6,27360,141620,Independent Director,Brd,SD,2000,2004,1999-07-01,2006-12-07,2000-10-01,2004-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Procore Technologies Inc (Listed 05/2021),Kevin O'Connor,2004,2006,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,6,2173056,141620,Independent Director,Brd,SD,2004,2006,1999-07-01,2006-12-07,2004-05-01,2021-05-20,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2006,2011,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2006,2011,1986-01-01,2016-06-30,2006-08-29,2011-04-28,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2012,2013,Chairman/CEO (Brd) (ED),Presiding Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2012,2013,1976-04-01,1986-01-01,2012-10-17,2013-07-08,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2013,2016,Chairman/CEO (Brd) (ED),Independent Chairman (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2013,2016,1976-04-01,1986-01-01,2013-07-08,2019-01-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2016,2018,Chairman (Executive) (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman,Executive,ED,2016,2018,,,2006-08-29,2011-04-28,Quoted
Listed Org,1-800-FLOWERS.COM INC,GTECH HOLDINGS CORP (De-listed 08/2006),Jim McCann,2003,2006,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,14042,86917,Chairman/CEO,Brd,ED,2003,2006,1976-04-01,1986-01-01,2003-02-18,2006-08-29,Quoted
Listed Org,1-800-FLOWERS.COM INC,AMYRIS INC (De-listed 08/2023),Jim McCann,2023,2023,Chairman (Executive)/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,1664727,86917,Chairman,Executive,ED,2023,2023,,,2019-05-14,2023-08-21,Quoted
NFP,1-800-FLOWERS.COM INC,Dublin City University Educational Trust,Jim McCann,2009,2014,Chairman/CEO (Brd) (ED),Trustee,Charities,6,824162,86917,Chairman/CEO,Brd,ED,2009,2014,1986-01-01,2016-06-30,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,ASTORIA FINANCIAL CORP (De-listed 10/2017),John Conefry Jr,2002,2013,Independent Director (Brd) (SD),Independent Vice Chairman (Brd) (SD),Quoted,6,2849,87882,Independent Director,Brd,SD,2002,2013,2002-10-01,2013-12-13,2000-12-29,2013-02-20,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Compound (Metamorphic Ventures prior to 10/2016),Jim McCann,2015,2016,Chairman/CEO (Brd) (ED),Advisor (Non-Brd),Private,6,1450834,86917,Chairman/CEO,Brd,ED,2015,2016,1986-01-01,2016-06-30,,,Quoted
Other,1-800-FLOWERS.COM INC,NYU Winthrop Hospital (Winthrop University Hospital prior to 04/2017),Jim McCann,2016,2023,Chairman (Executive) (Brd) (ED),Overseer,Private,6,734927,86917,Chairman,Executive,ED,2016,2023,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2015,2016,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2015,2016,1976-04-01,1986-01-01,2015-04-07,2018-11-19,Quoted
Listed Org,1-800-FLOWERS.COM INC,SCOTTS MIRACLE-GRO CO (Scotts Co prior to 03/2005),Jim McCann,2014,2016,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,27355,86917,Chairman/CEO,Brd,ED,2014,2016,1976-04-01,1986-01-01,2014-01-30,2020-01-27,Quoted
Other,1-800-FLOWERS.COM INC,NYU Winthrop Hospital (Winthrop University Hospital prior to 04/2017),Jim McCann,2023,Curr,Chairman (Executive)/CEO (Brd) (ED),Overseer,Private,6,734927,86917,Chairman,Executive,ED,2023,,,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Compound (Metamorphic Ventures prior to 10/2016),Jim McCann,2015,2016,Chairman/CEO (Brd) (ED),Advisor (Non-Brd),Private,6,1450834,86917,Chairman/CEO,Brd,ED,2015,2016,1976-04-01,1986-01-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,PETCO ANIMAL SUPPLIES INC (De-listed 10/2006),Jim McCann,1997,2000,Chairman/CEO (Brd) (ED),Director - SD (Brd) (SD),Quoted,6,77826,86917,Chairman/CEO,Brd,ED,1997,2000,1976-04-01,1986-01-01,1997-05-01,2000-10-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Boyds Collection Ltd,Jim McCann,2005,2006,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Private,6,1550812,86917,Chairman/CEO,Brd,ED,2005,2006,1986-01-01,2016-06-30,2005-10-10,2006-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Hofstra University,John Conefry Jr,2008,2013,Independent Director (Brd) (SD),Chairman Emeritus,Universities,6,60871,87882,Independent Director,Brd,SD,2008,2013,2002-10-01,2013-12-13,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2004,2012,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2004,2012,1976-04-01,1986-01-01,2004-04-21,2012-10-17,Quoted
Listed Org,1-800-FLOWERS.COM INC,SCOTTS MIRACLE-GRO CO (Scotts Co prior to 03/2005),Jim McCann,2014,2016,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,27355,86917,Chairman/CEO,Brd,ED,2014,2016,1986-01-01,2016-06-30,2014-01-30,2020-01-27,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Astoria Bank (Astoria Federal Savings and Loan Association prior to 06/2014) (Ceased Trading 10/2017),John Conefry Jr,2002,2013,Independent Director (Brd) (SD),Vice Chairman (Brd) (SD),Private,6,260702,87882,Independent Director,Brd,SD,2002,2013,2002-10-01,2013-12-13,1998-09-30,2013-02-20,Quoted
Listed Org,1-800-FLOWERS.COM INC,GATEWAY INC (De-listed 10/2007),Jim McCann,1996,2004,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,12881,86917,Chairman/CEO,Brd,ED,1996,2004,1986-01-01,2016-06-30,1996-01-01,2004-05-20,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Amyris Inc,Jim McCann,2023,Curr,Chairman (Executive)/CEO (Brd) (ED),Independent Director (Brd) (SD),Private,6,3676192,86917,Chairman,Executive,ED,2023,,,,2023-08-21,,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2006,2011,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2006,2011,1986-01-01,2016-06-30,2015-04-07,2018-11-19,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Atlas Merchant Capital LLC,Jim McCann,2019,2023,Chairman (Executive) (Brd) (ED),Senior Advisor (Non-Brd),Private,6,2024673,86917,Chairman,Executive,ED,2019,2023,,,2019-01-01,,Quoted
Listed Org,1-800-FLOWERS.COM INC,SCOTTS MIRACLE-GRO CO (Scotts Co prior to 03/2005),Jim McCann,2016,2020,Chairman (Executive) (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,27355,86917,Chairman,Executive,ED,2016,2020,,,2014-01-30,2020-01-27,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2015,2016,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2015,2016,1976-04-01,1986-01-01,2006-08-29,2011-04-28,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2016,2019,Chairman (Executive) (Brd) (ED),Independent Chairman (Brd) (SD),Quoted,6,33518,86917,Chairman,Executive,ED,2016,2019,,,2013-07-08,2019-01-01,Quoted
Education,AMERICAN EXPRESS CO,Columbia University,Victor Núñez,2001,2001,,,Universities,1815,60434,1631578,,,,2001,2001,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2004,2012,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2004,2012,1986-01-01,2016-06-30,2019-01-01,2019-05-20,Quoted
Other,1-800-FLOWERS.COM INC,NYU Winthrop Hospital (Winthrop University Hospital prior to 04/2017),Jim McCann,2006,2016,Chairman/CEO (Brd) (ED),Overseer,Private,6,734927,86917,Chairman/CEO,Brd,ED,2006,2016,1976-04-01,1986-01-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,AMYRIS INC (De-listed 08/2023),Jim McCann,2019,2023,Chairman (Executive) (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,1664727,86917,Chairman,Executive,ED,2019,2023,,,2019-05-14,2023-08-21,Quoted
